model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
random_forest,all_features,42,validation,6043,787,0.13023332781730929,0.34425989061229245,0.9332128925325736,0.7259917053568805,0.6255230125523012,0.7598475222363406,0.6861732644865175,4898,358,189,598,failure_pressure_conservative_next_4obs
random_forest,all_features,42,test,4412,514,0.11650045330915684,0.34425989061229245,0.9352002323849604,0.7378227485283213,0.6380655226209049,0.7957198443579766,0.7082251082251083,3666,232,105,409,failure_pressure_conservative_next_4obs
gradient_boosting,all_features,42,train,17197,1529,0.08891085654474618,0.7102712240670679,0.9762940315002623,0.8205238166687092,0.6249405045216564,0.8587311968606932,0.7234159779614324,14880,788,216,1313,failure_pressure_conservative_next_4obs
gradient_boosting,all_features,42,validation,6043,787,0.13023332781730929,0.7102712240670679,0.9340711118073566,0.7162564933740628,0.6189979123173278,0.7534942820838628,0.6796561604584529,4891,365,194,593,failure_pressure_conservative_next_4obs
gradient_boosting,all_features,42,test,4412,514,0.11650045330915684,0.7102712240670679,0.9360791626155686,0.7297439484324665,0.6194144838212635,0.7821011673151751,0.6913155631986242,3651,247,112,402,failure_pressure_conservative_next_4obs
logistic_l2,firm_core,42,train,17197,1529,0.08891085654474618,0.6530875028797315,0.9473568869276199,0.7111509654118213,0.5498435404559678,0.8044473512099412,0.6532129580456719,14661,1007,299,1230,failure_pressure_conservative_v2_next_4obs
logistic_l2,firm_core,42,validation,6043,787,0.13023332781730929,0.6530875028797315,0.9075371475982432,0.6626063374767062,0.5743380855397149,0.7166454891994918,0.637648388920294,4838,418,223,564,failure_pressure_conservative_v2_next_4obs
logistic_l2,firm_core,42,test,4412,514,0.11650045330915684,0.6530875028797315,0.9116113621072763,0.6381042012072632,0.5166240409207161,0.7859922178988327,0.6234567901234567,3520,378,110,404,failure_pressure_conservative_v2_next_4obs
random_forest,firm_core,42,train,17197,1529,0.08891085654474618,0.39161537250653616,0.9967508018325981,0.9646650659738822,0.7372227579556413,1.0,0.848737163474882,15123,545,0,1529,failure_pressure_conservative_v2_next_4obs
random_forest,firm_core,42,validation,6043,787,0.13023332781730929,0.39161537250653616,0.9336496173550793,0.7363407386209392,0.6318082788671024,0.7369758576874206,0.6803519061583578,4918,338,207,580,failure_pressure_conservative_v2_next_4obs
random_forest,firm_core,42,test,4412,514,0.11650045330915684,0.39161537250653616,0.9332891455859833,0.7397425158496315,0.6224961479198767,0.7859922178988327,0.6947549441100602,3653,245,110,404,failure_pressure_conservative_v2_next_4obs
gradient_boosting,firm_core,42,train,17197,1529,0.08891085654474618,0.7615323404620253,0.9748323953226307,0.8130126617423324,0.6565919749869724,0.8240680183126227,0.7308584686774942,15009,659,269,1260,failure_pressure_conservative_v2_next_4obs
gradient_boosting,firm_core,42,validation,6043,787,0.13023332781730929,0.7615323404620253,0.9350400534561819,0.7330918295538468,0.6555683122847302,0.7255400254129606,0.6887816646562123,4956,300,216,571,failure_pressure_conservative_v2_next_4obs
gradient_boosting,firm_core,42,test,4412,514,0.11650045330915684,0.7615323404620253,0.9376740641214789,0.7294247914797326,0.6256,0.7607003891050583,0.6865671641791046,3664,234,123,391,failure_pressure_conservative_v2_next_4obs
logistic_l2,ratios_trends_only,42,train,17197,1529,0.08891085654474618,0.7703958541698341,0.9431823399636639,0.7121936116673042,0.6349115801483172,0.7279267495094833,0.6782449725776964,15028,640,416,1113,failure_pressure_conservative_v2_next_4obs
logistic_l2,ratios_trends_only,42,validation,6043,787,0.13023332781730929,0.7703958541698341,0.9109591458614974,0.6605195307724764,0.6240786240786241,0.6454891994917408,0.6346033728919426,4950,306,279,508,failure_pressure_conservative_v2_next_4obs
logistic_l2,ratios_trends_only,42,test,4412,514,0.11650045330915684,0.7703958541698341,0.9049188149964165,0.6464687912951359,0.5508345978755691,0.7062256809338522,0.618925831202046,3602,296,151,363,failure_pressure_conservative_v2_next_4obs
random_forest,ratios_trends_only,42,train,17197,1529,0.08891085654474618,0.4946352698717699,0.9960858847909024,0.9586678503465501,0.7923930269413629,0.9810333551340745,0.8766803039158387,15275,393,29,1500,failure_pressure_conservative_v2_next_4obs
random_forest,ratios_trends_only,42,validation,6043,787,0.13023332781730929,0.4946352698717699,0.9320761750593258,0.716921566650275,0.6580565805658056,0.6797966963151207,0.66875,4978,278,252,535,failure_pressure_conservative_v2_next_4obs
random_forest,ratios_trends_only,42,test,4412,514,0.11650045330915684,0.4946352698717699,0.9353726744035153,0.7357474775505878,0.6388888888888888,0.7607003891050583,0.69449378330373,3677,221,123,391,failure_pressure_conservative_v2_next_4obs
gradient_boosting,ratios_trends_only,42,train,17197,1529,0.08891085654474618,0.7975016731327851,0.9718058936470014,0.7911819305272579,0.6781285231116122,0.7867887508175277,0.7284287011807448,15097,571,326,1203,failure_pressure_conservative_v2_next_4obs
gradient_boosting,ratios_trends_only,42,validation,6043,787,0.13023332781730929,0.7975016731327851,0.9341024186794931,0.7098281807355918,0.6348448687350835,0.6759847522236341,0.6547692307692308,4950,306,255,532,failure_pressure_conservative_v2_next_4obs
gradient_boosting,ratios_trends_only,42,test,4412,514,0.11650045330915684,0.7975016731327851,0.9321047608970379,0.7099963960132937,0.6106750392464678,0.7568093385214008,0.6759339704604691,3650,248,125,389,failure_pressure_conservative_v2_next_4obs
logistic_l2,raw_accounting_only,42,train,17197,1529,0.08891085654474618,0.611842111750947,0.8595394578110576,0.3803256557799112,0.3007760235483008,0.7351209941137998,0.42688947968097235,13055,2613,405,1124,failure_pressure_conservative_v2_next_4obs
logistic_l2,raw_accounting_only,42,validation,6043,787,0.13023332781730929,0.611842111750947,0.8196250331200114,0.3800165948944223,0.3912,0.6213468869123253,0.4801178203240059,4495,761,298,489,failure_pressure_conservative_v2_next_4obs
logistic_l2,raw_accounting_only,42,test,4412,514,0.11650045330915684,0.611842111750947,0.8106531734322501,0.30713339027046793,0.35096153846153844,0.5680933852140078,0.4338781575037147,3358,540,222,292,failure_pressure_conservative_v2_next_4obs
random_forest,raw_accounting_only,42,train,17197,1529,0.08891085654474618,0.4465503122835627,0.9961021226419426,0.9582767407958344,0.7387300048473098,0.9967298888162197,0.8485523385300668,15129,539,5,1524,failure_pressure_conservative_v2_next_4obs
random_forest,raw_accounting_only,42,validation,6043,787,0.13023332781730929,0.4465503122835627,0.9123391866305393,0.6848455777463841,0.6271820448877805,0.639135959339263,0.6331025802391441,4957,299,284,503,failure_pressure_conservative_v2_next_4obs
random_forest,raw_accounting_only,42,test,4412,514,0.11650045330915684,0.4465503122835627,0.8969899759030371,0.6634490598952777,0.5877034358047016,0.632295719844358,0.6091846298031866,3670,228,189,325,failure_pressure_conservative_v2_next_4obs
gradient_boosting,raw_accounting_only,42,train,17197,1529,0.08891085654474618,0.7487534087421566,0.9559289278025904,0.7297132883989781,0.5742762221167537,0.7913669064748201,0.6655665566556656,14771,897,319,1210,failure_pressure_conservative_v2_next_4obs
gradient_boosting,raw_accounting_only,42,validation,6043,787,0.13023332781730929,0.7487534087421566,0.9038778698369047,0.6517266454265376,0.6013590033975085,0.6747141041931385,0.6359281437125749,4904,352,256,531,failure_pressure_conservative_v2_next_4obs
gradient_boosting,raw_accounting_only,42,test,4412,514,0.11650045330915684,0.7487534087421566,0.8966905107478045,0.6542771145904331,0.5817555938037866,0.6575875486381323,0.6173515981735159,3655,243,176,338,failure_pressure_conservative_v2_next_4obs
logistic_l2,macro_event_only,42,train,17197,1529,0.08891085654474618,0.0011687827801154687,0.7521502629863988,0.22711310062189033,0.08894188819731255,1.0,0.16335470085470086,6,15662,0,1529,failure_pressure_conservative_v2_next_4obs
logistic_l2,macro_event_only,42,validation,6043,787,0.13023332781730929,0.0011687827801154687,0.5400567198327464,0.16602822860804803,0.13617103235747305,0.8983481575603558,0.236494397056364,771,4485,80,707,failure_pressure_conservative_v2_next_4obs
logistic_l2,macro_event_only,42,test,4412,514,0.11650045330915684,0.0011687827801154687,0.5761976609774941,0.13850036641836092,0.11650045330915684,1.0,0.20868859114900526,0,3898,0,514,failure_pressure_conservative_v2_next_4obs
random_forest,macro_event_only,42,train,17197,1529,0.08891085654474618,0.2502491101679043,0.9283332843554108,0.528254673116074,0.1952685421994885,0.9986919555264879,0.32666595357792283,9375,6293,2,1527,failure_pressure_conservative_v2_next_4obs
random_forest,macro_event_only,42,validation,6043,787,0.13023332781730929,0.2502491101679043,0.5938036084856855,0.17063455855394116,0.15254901960784314,0.98856416772554,0.2643111941566163,934,4322,9,778,failure_pressure_conservative_v2_next_4obs
random_forest,macro_event_only,42,test,4412,514,0.11650045330915684,0.2502491101679043,0.5587523183594101,0.12799051515525622,0.13362782992821645,0.9416342412451362,0.23404255319148934,760,3138,30,484,failure_pressure_conservative_v2_next_4obs
gradient_boosting,macro_event_only,42,train,17197,1529,0.08891085654474618,0.2555800525139752,0.7960427814361875,0.28749954764872454,0.11595990747879723,0.9836494440810988,0.207462583626457,4202,11466,25,1504,failure_pressure_conservative_v2_next_4obs
gradient_boosting,macro_event_only,42,validation,6043,787,0.13023332781730929,0.2555800525139752,0.6112478218153055,0.17791474118865808,0.1612015018773467,0.818297331639136,0.26934337097448763,1905,3351,143,644,failure_pressure_conservative_v2_next_4obs
gradient_boosting,macro_event_only,42,test,4412,514,0.11650045330915684,0.2555800525139752,0.5820469641220779,0.15028472200891335,0.13222667429879795,0.8988326848249028,0.23053892215568864,866,3032,52,462,failure_pressure_conservative_v2_next_4obs
logistic_l2,all_features,42,train,17197,1529,0.08891085654474618,0.6045014332620098,0.9538675973139841,0.7328562833844084,0.5276647681041498,0.8482668410725964,0.6506144971156258,14507,1161,232,1297,failure_pressure_conservative_v2_next_4obs
logistic_l2,all_features,42,validation,6043,787,0.13023332781730929,0.6045014332620098,0.7735268122206557,0.38218503373983687,0.2825775656324582,0.7522236340533672,0.4108258154059681,3753,1503,195,592,failure_pressure_conservative_v2_next_4obs
logistic_l2,all_features,42,test,4412,514,0.11650045330915684,0.6045014332620098,0.8942219196515024,0.5761615852200102,0.11867928884784114,1.0,0.21217750257997933,81,3817,0,514,failure_pressure_conservative_v2_next_4obs
