model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
logistic_l2,macro_event_only,42,train,17197,1529,0.08891085654474618,0.0011687827801154687,0.7521502629863988,0.22711310062189033,0.08894188819731255,1.0,0.16335470085470086,6,15662,0,1529,failure_pressure_conservative_next_4obs
logistic_l2,macro_event_only,42,validation,6043,787,0.13023332781730929,0.0011687827801154687,0.5400567198327464,0.16602822860804803,0.13617103235747305,0.8983481575603558,0.236494397056364,771,4485,80,707,failure_pressure_conservative_next_4obs
logistic_l2,macro_event_only,42,test,4412,514,0.11650045330915684,0.0011687827801154687,0.5761976609774941,0.13850036641836092,0.11650045330915684,1.0,0.20868859114900526,0,3898,0,514,failure_pressure_conservative_next_4obs
random_forest,macro_event_only,42,train,17197,1529,0.08891085654474618,0.25024911016790424,0.9283332843554108,0.528254673116074,0.1952685421994885,0.9986919555264879,0.32666595357792283,9375,6293,2,1527,failure_pressure_conservative_next_4obs
random_forest,macro_event_only,42,validation,6043,787,0.13023332781730929,0.25024911016790424,0.5938036084856855,0.17063455855394116,0.15254901960784314,0.98856416772554,0.2643111941566163,934,4322,9,778,failure_pressure_conservative_next_4obs
random_forest,macro_event_only,42,test,4412,514,0.11650045330915684,0.25024911016790424,0.5587523183594101,0.12799051515525622,0.13362782992821645,0.9416342412451362,0.23404255319148934,760,3138,30,484,failure_pressure_conservative_next_4obs
gradient_boosting,macro_event_only,42,train,17197,1529,0.08891085654474618,0.2555800525139752,0.7960427814361875,0.28749954764872454,0.11595990747879723,0.9836494440810988,0.207462583626457,4202,11466,25,1504,failure_pressure_conservative_next_4obs
gradient_boosting,macro_event_only,42,validation,6043,787,0.13023332781730929,0.2555800525139752,0.6112478218153055,0.17791474118865808,0.1612015018773467,0.818297331639136,0.26934337097448763,1905,3351,143,644,failure_pressure_conservative_next_4obs
gradient_boosting,macro_event_only,42,test,4412,514,0.11650045330915684,0.2555800525139752,0.5820469641220779,0.15028472200891335,0.13222667429879795,0.8988326848249028,0.23053892215568864,866,3032,52,462,failure_pressure_conservative_next_4obs
logistic_l2,all_features,42,train,17197,1529,0.08891085654474618,0.6045014332620098,0.9538675973139841,0.7328562833844084,0.5276647681041498,0.8482668410725964,0.6506144971156258,14507,1161,232,1297,failure_pressure_conservative_next_4obs
logistic_l2,all_features,42,validation,6043,787,0.13023332781730929,0.6045014332620098,0.7735268122206557,0.38218503373983687,0.2825775656324582,0.7522236340533672,0.4108258154059681,3753,1503,195,592,failure_pressure_conservative_next_4obs
logistic_l2,all_features,42,test,4412,514,0.11650045330915684,0.6045014332620098,0.8942219196515024,0.5761615852200102,0.11867928884784114,1.0,0.21217750257997933,81,3817,0,514,failure_pressure_conservative_next_4obs
random_forest,all_features,42,train,17197,1529,0.08891085654474618,0.34425989061229245,0.9975855275581794,0.9738549441542743,0.7078703703703704,1.0,0.8289509352127948,15037,631,0,1529,failure_pressure_conservative_next_4obs
