target,feature_set,model,feature_group,importance,importance_share
success_composite_strict_next_4obs,all_features,gradient_boosting,financial_ratio,0.765034070099504,0.7679208661202985
success_composite_strict_next_4obs,all_features,gradient_boosting,firm_trend,0.1566148216758144,0.157205795413693
success_composite_strict_next_4obs,all_features,gradient_boosting,accounting_fundamental,0.07193747187039572,0.07220892227457767
success_composite_strict_next_4obs,all_features,gradient_boosting,macro,0.0019288975343451675,0.0019361760778039494
success_composite_strict_next_4obs,all_features,gradient_boosting,sector,0.0007255024869325418,0.0007282401136268418
success_composite_strict_next_4obs,all_features,logistic_l2,accounting_fundamental,14.515741278218707,0.34595444882179494
success_composite_strict_next_4obs,all_features,logistic_l2,financial_ratio,9.395607817753788,0.2239260304821055
success_composite_strict_next_4obs,all_features,logistic_l2,sector,8.038380579008924,0.19157916012210102
success_composite_strict_next_4obs,all_features,logistic_l2,firm_trend,5.753440833437592,0.13712206729307078
success_composite_strict_next_4obs,all_features,logistic_l2,macro,4.255362840854179,0.10141829328092783
success_composite_strict_next_4obs,all_features,random_forest,financial_ratio,0.3451389318926708,0.4035659061010683
success_composite_strict_next_4obs,all_features,random_forest,firm_trend,0.31811179347664525,0.37196346836861854
success_composite_strict_next_4obs,all_features,random_forest,accounting_fundamental,0.1919724901573069,0.2244706255303132
success_composite_strict_next_4obs,firm_core,gradient_boosting,financial_ratio,0.7761695033376552,0.7778353419467573
success_composite_strict_next_4obs,firm_core,gradient_boosting,firm_trend,0.15238684537182748,0.15271390265692827
success_composite_strict_next_4obs,firm_core,gradient_boosting,accounting_fundamental,0.06865080949500087,0.06879814995157782
success_composite_strict_next_4obs,firm_core,gradient_boosting,sector,0.000651207802732353,0.0006526054447366771
success_composite_strict_next_4obs,firm_core,logistic_l2,accounting_fundamental,14.756874554080376,0.368468367493943
success_composite_strict_next_4obs,firm_core,logistic_l2,financial_ratio,10.349653306346552,0.25842327546677824
success_composite_strict_next_4obs,firm_core,logistic_l2,sector,7.97865678470894,0.19922122597723635
success_composite_strict_next_4obs,firm_core,logistic_l2,firm_trend,6.964045779842075,0.1738871310620424
success_composite_strict_next_4obs,firm_core,random_forest,financial_ratio,0.3759246076318825,0.40965928231772464
success_composite_strict_next_4obs,firm_core,random_forest,firm_trend,0.3295941033172693,0.359171177092306
success_composite_strict_next_4obs,firm_core,random_forest,accounting_fundamental,0.21213316185846084,0.2311695405899694
success_composite_strict_next_4obs,macro_event_only,gradient_boosting,sector,0.7981614484101323,0.7994932637817245
success_composite_strict_next_4obs,macro_event_only,gradient_boosting,macro,0.20017272720844326,0.2005067362182755
success_composite_strict_next_4obs,macro_event_only,logistic_l2,macro,11.558416568779975,0.5553802798349176
success_composite_strict_next_4obs,macro_event_only,logistic_l2,sector,9.05709445955873,0.43519210659249963
success_composite_strict_next_4obs,macro_event_only,logistic_l2,regime_time,0.19620481475104778,0.00942761357258272
