path,category,size_mb,status,rows,columns,error
data/processed/legacy_xbrl/q4quarter_all/APH/APH_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/APP/APP_q4quarter.parquet,processed_data,0.017,PASS,4,27,
data/processed/legacy_xbrl/q4quarter_all/APP/APP_q4quarter_summary.parquet,processed_data,0.003,PASS,4,4,
data/processed/legacy_xbrl/q4quarter_all/AVGO/AVGO_q4quarter.parquet,processed_data,0.018,PASS,7,28,
data/processed/legacy_xbrl/q4quarter_all/AVGO/AVGO_q4quarter_summary.parquet,processed_data,0.003,PASS,7,4,
data/processed/legacy_xbrl/q4quarter_all/AXON/AXON_q4quarter.parquet,processed_data,0.02,PASS,14,29,
data/processed/legacy_xbrl/q4quarter_all/AXON/AXON_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AXP/AXP_q4quarter.parquet,processed_data,0.014,PASS,16,21,
data/processed/legacy_xbrl/q4quarter_all/AXP/AXP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/AZO/AZO_q4quarter.parquet,processed_data,0.018,PASS,15,27,
data/processed/legacy_xbrl/q4quarter_all/AZO/AZO_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BA/BA_q4quarter.parquet,processed_data,0.021,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/BA/BA_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BAC/BAC_q4quarter.parquet,processed_data,0.014,PASS,16,20,
data/processed/legacy_xbrl/q4quarter_all/BAC/BAC_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BDX/BDX_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/BDX/BDX_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BIIB/BIIB_q4quarter.parquet,processed_data,0.021,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/BIIB/BIIB_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BK/BK_q4quarter.parquet,processed_data,0.014,PASS,16,20,
data/processed/legacy_xbrl/q4quarter_all/BK/BK_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BKNG/BKNG_q4quarter.parquet,processed_data,0.018,PASS,15,27,
data/processed/legacy_xbrl/q4quarter_all/BKNG/BKNG_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BKR/BKR_q4quarter.parquet,processed_data,0.018,PASS,8,28,
