target,best_model,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall
distress_next_4q,gradient_boosting,0.1043138859696451,0.8159328471260388,0.1818181818181818,0.12,0.375
failure_pressure_conservative_v2_next_4obs,random_forest,0.7578791892959569,0.9540138186720593,0.7250996015936254,0.6691176470588235,0.7913043478260869
success_resilience_next_4q,random_forest,0.974648887771459,0.9665813841997628,0.9376303317535546,0.941377997716026,0.9339123867069486
industry_relative_resilience_next_4obs,gradient_boosting,0.8546067364306824,0.8998981717708014,0.7867197875166002,0.7096310493531385,0.8825983313468415
stress_resilience_next_4obs,random_forest,0.97362695463893,0.9664212921179302,0.937142857142857,0.8959619952494062,0.9822916666666668
recovery_next_4obs,random_forest,0.9772675870366334,0.9758036068308292,0.9147157190635452,0.9170159262363788,0.9124270225187656
quality_success_cashflow_next_4obs,gradient_boosting,0.952856420027953,0.9449407183540626,0.9197224975222994,0.8967916505604948,0.9438567941415784
