model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
random_forest_cfg2_seed42,validation,4190,2414,0.43865281360055564,0.9444251625278965,0.9483886060708328,0.877030162412993,0.9395194697597349,0.9071999999999999,1458,318,146,2268,success_resilience_next_4q,random_forest,42,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,0.987
random_forest_cfg2_seed42,test,4046,2647,0.43865281360055564,0.9638975219225346,0.9710932584618122,0.9342984409799554,0.9508877975066112,0.9425201273169819,1222,177,130,2517,success_resilience_next_4q,random_forest,42,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,0.987
random_forest_cfg2_seed202,train,11058,7029,0.4992304212181956,0.9755790648683373,0.9847792014211229,0.9213513883189715,0.9583155498648457,0.9394700139470015,3454,575,293,6736,success_resilience_next_4q,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,0.974
random_forest_cfg2_seed202,validation,4190,2414,0.4992304212181956,0.9441175071094291,0.9488729818825106,0.8928856914468425,0.9254349627174814,0.9088689991863302,1508,268,180,2234,success_resilience_next_4q,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,0.974
random_forest_cfg2_seed202,test,4046,2647,0.4992304212181956,0.9650222391567401,0.9729747662321915,0.938136552244436,0.9395542123158293,0.9388448471121178,1235,164,160,2487,success_resilience_next_4q,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,0.974
random_forest_cfg2_seed777,train,11058,7029,0.4950105194451078,0.976173312554968,0.9852860400238725,0.9224232456140351,0.9574619433774363,0.9396160558464224,3463,566,299,6730,success_resilience_next_4q,random_forest,777,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.028
random_forest_cfg2_seed777,validation,4190,2414,0.4950105194451078,0.9453084764549139,0.9500794453823503,0.8903508771929824,0.9250207125103562,0.9073547338480292,1501,275,181,2233,success_resilience_next_4q,random_forest,777,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.028
random_forest_cfg2_seed777,test,4046,2647,0.4950105194451078,0.9643536197397192,0.9715497702223119,0.9377358490566038,0.9387986399697771,0.9382669435529545,1234,165,162,2485,success_resilience_next_4q,random_forest,777,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.028
random_forest_cfg3_seed42,train,11058,7029,0.45139643921863537,0.9952029038581114,0.9971605732353079,0.9677329235926806,0.9856309574619434,0.976599943614322,3798,231,101,6928,success_resilience_next_4q,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.1
random_forest_cfg3_seed42,validation,4190,2414,0.45139643921863537,0.9436999914164371,0.9428736333354291,0.8702435312024354,0.9473902236951118,0.9071796905989686,1435,341,127,2287,success_resilience_next_4q,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.1
random_forest_cfg3_seed42,test,4046,2647,0.45139643921863537,0.9602684523161749,0.9652831725092283,0.9314814814814815,0.9501322251605592,0.9407144193005423,1214,185,132,2515,success_resilience_next_4q,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.1
