model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,scale_pos_weight,fit_seconds
xgboost_cfg2_seed202,validation,4190,2414,0.3970522880554199,0.9446761384416728,0.9461218182035249,0.8775115919629057,0.9407622203811102,0.9080367852858856,1459,317,143,2271,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,0.629
xgboost_cfg2_seed202,test,4046,2647,0.3970522880554199,0.9642596457667291,0.9733308577473132,0.9353869271224643,0.9406875708349074,0.938029760783575,1227,172,157,2490,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,0.629
xgboost_cfg2_seed777,train,11058,7029,0.46863675117492676,0.9788362159236699,0.9872946441751144,0.9373426573426573,0.953478446436193,0.945341702517808,3581,448,327,6702,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,0.663
xgboost_cfg2_seed777,validation,4190,2414,0.46863675117492676,0.9449182508938102,0.9481061241009369,0.8911483253588517,0.9258492129246064,0.9081674116212922,1503,273,179,2235,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,0.663
xgboost_cfg2_seed777,test,4046,2647,0.46863675117492676,0.9642653166099268,0.9725761725907087,0.9405902644691453,0.927087268605969,0.9337899543378996,1244,155,193,2454,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 400, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,0.663
xgboost_cfg3_seed42,train,11058,7029,0.4440349042415619,0.9776632043944031,0.9865324274414794,0.9332593312057722,0.9568928723858301,0.9449283506602978,3548,481,303,6726,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.915
xgboost_cfg3_seed42,validation,4190,2414,0.4440349042415619,0.9444790430447015,0.9446136444380314,0.8866060845515606,0.9295774647887324,0.9075834175935288,1489,287,170,2244,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.915
xgboost_cfg3_seed42,test,4046,2647,0.4440349042415619,0.9639569307560342,0.9731241366164819,0.9402814758463294,0.9338874197204382,0.9370735405610311,1242,157,175,2472,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.915
xgboost_cfg3_seed202,train,11058,7029,0.47030019760131836,0.9776518695850023,0.9865269020157946,0.9368877693814721,0.9524825722008821,0.9446208112874779,3578,451,334,6695,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.907
xgboost_cfg3_seed202,validation,4190,2414,0.47030019760131836,0.9442488262910799,0.9453103946061739,0.890793144679155,0.9258492129246064,0.9079829372333942,1502,274,179,2235,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.907
