cohort,rows,firms,distress_rows,avg_leverage,avg_roa,distress_share
additional_controls,5485,99,0,0.6292523912042981,0.01589323878659691,0.0
core_large_cap,13858,250,5,0.6388062695595692,0.017843047272613988,0.00036080242459229326
distress_candidates,1144,40,165,0.7268263890730405,-0.023092405112873256,0.14423076923076922
expansion_event_review,4002,75,37,0.8839660497491667,-0.010493211098326264,0.009245377311344328
expansion_matched_controls,4588,75,0,0.6598302668787652,-0.004048265275545206,0.0
