regime,value,rows,firms,distress_rows,distress_share,avg_leverage,avg_roa,avg_unrate,avg_vix,avg_fedfunds
high_rate_regime,0,25198,534,148,0.005873482022382729,0.6816407809166202,0.007031854201211743,6.0631597745852845,18.545101546043476,0.6403222477974443
high_rate_regime,1,3879,503,59,0.015210105697344677,0.6696350678401195,0.018416865922764012,3.821758185099253,17.275699535363966,5.09472028873421
market_stress_regime,0,25028,539,171,0.006832347770497044,0.677557677599251,0.008529019191001876,5.560608118906825,16.30625990554711,1.320539395876618
market_stress_regime,1,4049,534,36,0.008891084218325513,0.6945055158649994,0.008731034506442244,7.022277105458139,31.146245986663374,0.7030871820202519
tight_financial_conditions,0,28226,539,203,0.00719195068376674,0.680444338073085,0.008541797088732215,5.601877701410047,17.993104598353675,1.267941968397931
tight_financial_conditions,1,851,431,4,0.004700352526439483,0.6620193281117855,0.009067344420987665,11.146298472385428,31.047826086956523,0.1272972972972973
crisis_regime,0,22550,539,105,0.004656319290465632,0.6608570149656487,0.0087267883163274,5.8290022172949,16.66381136434315,0.9650616407982261
crisis_regime,1,6527,531,102,0.015627393902252183,0.7426981191434227,0.007972426781179733,5.540079669066953,24.280360098069263,2.165638118584342
