target,variant,model,train_rows,validation_rows,test_rows,test_positives,threshold,roc_auc,pr_auc,precision,recall,f1
distress_next_4q,current_with_missing_indicators,logistic_l2,17145,6045,5872,96,0.002923030029951106,0.5814739871883656,0.020112282187606627,0.012711864406779662,0.0625,0.021126760563380285
distress_next_4q,current_with_missing_indicators,random_forest,17145,6045,5872,96,0.06328729098810465,0.7942446834602955,0.1207748368741877,0.13513513513513514,0.15625,0.14492753623188406
distress_next_4q,current_with_missing_indicators,gradient_boosting,17145,6045,5872,96,0.0019200801174421322,0.8397364453485687,0.07376084997826708,0.0831353919239905,0.3645833333333333,0.13539651837524178
distress_next_4q,all_missing_indicators_removed,logistic_l2,17145,6045,5872,96,0.4579598563165393,0.6230144130886427,0.02181660482638407,0.02040816326530612,0.041666666666666664,0.027397260273972598
distress_next_4q,all_missing_indicators_removed,random_forest,17145,6045,5872,96,0.06342450965572094,0.8206713844644506,0.1405919295108059,0.1650485436893204,0.17708333333333334,0.17085427135678394
distress_next_4q,all_missing_indicators_removed,gradient_boosting,17145,6045,5872,96,0.9365835793536519,0.8441611842105262,0.10097277181191419,0.4,0.041666666666666664,0.07547169811320754
distress_next_4q,total_liabilities_and_indicator_removed,logistic_l2,17145,6045,5872,96,0.0029613419810746427,0.581286429478301,0.02010587478703837,0.01263157894736842,0.0625,0.021015761821366025
distress_next_4q,total_liabilities_and_indicator_removed,random_forest,17145,6045,5872,96,0.05121613844033974,0.837327951869806,0.14302320146711459,0.11650485436893204,0.25,0.15894039735099338
distress_next_4q,total_liabilities_and_indicator_removed,gradient_boosting,17145,6045,5872,96,0.8781250350251083,0.7957721967336104,0.09266868163697986,0.4,0.041666666666666664,0.07547169811320754
distress_next_4q,economic_features_only,logistic_l2,17145,6045,5872,96,0.4579598563165393,0.6230144130886427,0.02181660482638407,0.02040816326530612,0.041666666666666664,0.027397260273972598
distress_next_4q,economic_features_only,random_forest,17145,6045,5872,96,0.06342450965572094,0.8206713844644506,0.1405919295108059,0.1650485436893204,0.17708333333333334,0.17085427135678394
distress_next_4q,economic_features_only,gradient_boosting,17145,6045,5872,96,0.9365835793536519,0.8441611842105262,0.10097277181191419,0.4,0.041666666666666664,0.07547169811320754
distress_next_4q,missing_indicators_only,logistic_l2,17145,6045,5872,96,0.7595541566122093,0.5359136945983379,0.026269001861788467,0.04017857142857143,0.09375,0.05625000000000001
distress_next_4q,missing_indicators_only,random_forest,17145,6045,5872,96,0.4562569335152888,0.5005031596260388,0.016510279998155734,0.013821138211382113,0.17708333333333334,0.02564102564102564
distress_next_4q,missing_indicators_only,gradient_boosting,17145,6045,5872,96,0.024114254926324033,0.5439371970221607,0.03005245219937773,0.3333333333333333,0.010416666666666666,0.0202020202020202
distress_next_4q,only_missingindicator_total_liabilities_removed,logistic_l2,17145,6045,5872,96,0.0011187410805479205,0.5861340749076639,0.02057264713814434,0.010822510822510822,0.052083333333333336,0.017921146953405017
distress_next_4q,only_missingindicator_total_liabilities_removed,random_forest,17145,6045,5872,96,0.06745988233627705,0.8032041709949216,0.09738255038432911,0.1553398058252427,0.16666666666666666,0.1608040201005025
distress_next_4q,only_missingindicator_total_liabilities_removed,gradient_boosting,17145,6045,5872,96,0.9470815770869421,0.8368274974030471,0.0784397079586627,0.17647058823529413,0.03125,0.05309734513274336
