model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp
logistic_l2,train,17145,58,0.00292280586960865,0.9957126107163542,0.30897223403432084,0.02136279926335175,1.0,0.0418319509556437,14430,2657,0,58
logistic_l2,validation,6045,53,0.00292280586960865,0.72339219588382,0.015528039320597082,0.022197558268590455,0.7547169811320755,0.043126684636118594,4230,1762,13,40
logistic_l2,test,5872,96,0.00292280586960865,0.581470380309326,0.02011211030325546,0.012711864406779662,0.0625,0.021126760563380285,5310,466,90,6
random_forest,train,17145,58,0.06192148815258035,1.0,1.0000000000000002,0.21641791044776118,1.0,0.35582822085889565,16877,210,0,58
random_forest,validation,6045,53,0.06192148815258035,0.8414363805829155,0.10026327989195828,0.19402985074626866,0.24528301886792453,0.21666666666666665,5938,54,40,13
random_forest,test,5872,96,0.06192148815258035,0.8055883180401662,0.10220239757083933,0.11711711711711711,0.13541666666666666,0.12560386473429952,5678,98,83,13
gradient_boosting,train,17145,58,0.04559022319371437,1.0,1.0,0.09119496855345911,1.0,0.16714697406340054,16509,578,0,58
gradient_boosting,validation,6045,53,0.04559022319371437,0.8952408242436457,0.09638393734770706,0.10504201680672269,0.4716981132075472,0.1718213058419244,5779,213,28,25
gradient_boosting,test,5872,96,0.04559022319371437,0.8159328471260388,0.10431388596964519,0.12,0.375,0.18181818181818182,5512,264,60,36
