model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp
logistic_l2,train,1625,1046,0.00020228554735219614,0.9546788984766377,0.9700848125802419,0.6675175494575623,1.0,0.8006123230003828,58,521,0,1046
logistic_l2,validation,950,542,0.00020228554735219614,0.796699768468273,0.7650833365424694,0.7533432392273403,0.9354243542435424,0.8345679012345679,242,166,35,507
logistic_l2,test,3028,1920,0.00020228554735219614,0.7545337883574008,0.8548927505530781,0.6592005513439008,0.9963541666666667,0.7934467026130236,119,989,7,1913
random_forest,train,1625,1046,0.37779218624497135,0.9956211177047525,0.9976440912546354,0.9401631912964642,0.9913957934990439,0.9651000465332712,513,66,9,1037
random_forest,validation,950,542,0.37779218624497135,0.9417552999059403,0.9446199805060097,0.8571428571428571,0.9520295202952029,0.902097902097902,322,86,26,516
random_forest,test,3028,1920,0.37779218624497135,0.9664212921179302,0.97362695463893,0.8959619952494062,0.9822916666666667,0.937142857142857,889,219,34,1886
gradient_boosting,train,1625,1046,0.4509927796710212,0.9963674430431582,0.9979374138811417,0.9753787878787878,0.9847036328871893,0.9800190294957184,553,26,16,1030
gradient_boosting,validation,950,542,0.4509927796710212,0.9281075898994283,0.9322689362909742,0.8826714801444043,0.9022140221402214,0.8923357664233577,343,65,53,489
gradient_boosting,test,3028,1920,0.4509927796710212,0.9616910160950661,0.9712841533794829,0.9132169576059851,0.9536458333333333,0.9329936305732485,934,174,89,1831
