target,criterion,evidence_layer,selected_by,model,model_family,test_rows,test_positives,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,threshold
distress_next_4q,best_test_pr_auc,baseline_temporal_model,fixed_baseline_specification,random_forest,random_forest,5873,96,0.7982543924182102,0.1568010996198406,0.1473684210526315,0.1458333333333333,0.1465968586387434,0.0671074710430914
distress_next_4q,best_test_f1,xgboost_lightgbm_validation_tuned,validation_pr_auc_f1_roc_auc,xgboost_cfg1_seed777,xgboost,5873,96,0.8190588757140385,0.12062695177408,0.2058823529411764,0.2916666666666667,0.2413793103448276,0.5618000030517578
failure_pressure_conservative_v2_next_4obs,best_test_pr_auc,baseline_temporal_model,fixed_baseline_specification,random_forest,random_forest,5735,575,0.9551921132457026,0.7640391086252096,0.6785714285714286,0.7930434782608695,0.731355252606255,0.3571937134187098
failure_pressure_conservative_v2_next_4obs,best_test_f1,baseline_temporal_model,fixed_baseline_specification,random_forest,random_forest,5735,575,0.9551921132457026,0.7640391086252096,0.6785714285714286,0.7930434782608695,0.731355252606255,0.3571937134187098
success_resilience_next_4q,best_test_pr_auc,xgboost_lightgbm_validation_tuned,validation_pr_auc_f1_roc_auc,lightgbm_cfg3_seed202,lightgbm,4047,2648,0.9648977798125118,0.9737199516283828,0.9360421369450714,0.9395770392749244,0.9378062570674708,0.4438987005968787
success_resilience_next_4q,best_test_f1,baseline_temporal_model,fixed_baseline_specification,random_forest,random_forest,4047,2648,0.9658096309621244,0.9731696603222731,0.9375,0.9459969788519638,0.9417293233082706,0.4926856572332438
