feature_set,model,threshold,test_rows,test_positives,roc_auc,pr_auc,precision,recall,f1
firm_only,logistic_l2,0.3143615445284468,5872,96,0.6634168686518929,0.039091881620681126,0.05869074492099323,0.2708333333333333,0.09647495361781076
firm_plus_macro_regime,logistic_l2,0.0006143487315999219,5872,96,0.6341290108494921,0.024884056540926725,0.016544117647058824,0.09375,0.028125000000000004
firm_plus_macro,logistic_l2,0.0008749971658606163,5872,96,0.6137266995614035,0.023768284461505265,0.018137847642079808,0.15625,0.032502708559046585
firm_plus_macro_regime_event,logistic_l2,0.0020796211970589068,5872,96,0.582215200831025,0.02029114584691176,0.01232394366197183,0.07291666666666667,0.02108433734939759
firm_plus_macro_regime,random_forest,0.06569858374878282,5872,96,0.83642442867036,0.14969754494131265,0.1619047619047619,0.17708333333333334,0.1691542288557214
firm_only,random_forest,0.07162068264739781,5872,96,0.861438134810711,0.14014316725769324,0.14925373134328357,0.20833333333333334,0.17391304347826084
firm_plus_macro_regime_event,random_forest,0.0617642816239952,5872,96,0.8054756030701754,0.1370628847848302,0.14285714285714285,0.16666666666666666,0.15384615384615383
firm_plus_macro,random_forest,0.061876707041111034,5872,96,0.8153286948868881,0.1255639059057622,0.14953271028037382,0.16666666666666666,0.15763546798029554
