model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp
logistic_l2,train,11064,7034,0.36267807753444964,0.9293756804066178,0.9477294897547355,0.8814266487213998,0.9310491896502702,0.9055586283185841,3149,881,485,6549
logistic_l2,validation,4192,2415,0.36267807753444964,0.8503770865592204,0.8465126592811949,0.7762652705061082,0.9209109730848861,0.8424242424242423,1136,641,191,2224
logistic_l2,test,4047,2648,0.36267807753444964,0.910231520572528,0.9306523588949953,0.9485477178423236,0.4316465256797583,0.593303919024137,1337,62,1505,1143
random_forest,train,11064,7034,0.5300356276291479,0.9972526565402642,0.9984943725541839,0.984617596319724,0.9736991754336082,0.9791279485346676,3923,107,185,6849
random_forest,validation,4192,2415,0.5300356276291479,0.9495576675043776,0.9545072097664733,0.8977867203219316,0.9238095238095239,0.9106122448979593,1523,254,184,2231
random_forest,test,4047,2648,0.5300356276291479,0.9665813841997629,0.974648887771459,0.9413779977160259,0.9339123867069486,0.9376303317535546,1245,154,175,2473
gradient_boosting,train,11064,7034,0.3433389674812772,0.9778606887073138,0.9863225439158443,0.9202751922298664,0.9698606767131077,0.9444175261299923,3439,591,212,6822
gradient_boosting,validation,4192,2415,0.3433389674812772,0.9429354379808247,0.9434678264094458,0.8765432098765432,0.9407867494824017,0.9075294587577392,1457,320,143,2272
gradient_boosting,test,4047,2648,0.3433389674812772,0.9605120943099192,0.9678650081397439,0.9338812103100486,0.9441087613293051,0.9389671361502347,1222,177,148,2500
