event_type,Sector,rows,firms,distress_rows,distress_share,success_resilience_share,avg_roa,avg_leverage,avg_cash_assets
banking_stress,Real Estate,15,15,2,0.13333333333333333,0.6923076923076923,-0.006422883309578174,0.5679026971352482,0.08829270844918338
banking_stress,Consumer Cyclical,32,29,4,0.125,0.47368421052631576,-0.007934440712624077,0.6930020325148819,0.11206253331038395
banking_stress,Healthcare,22,22,2,0.09090909090909091,0.7857142857142857,-0.007530641920615699,0.49276682863218557,0.18062383078559538
banking_stress,ALL,230,227,9,0.0391304347826087,0.6772151898734177,0.012271741551536972,0.6762995603658976,0.09663478242192307
banking_stress,Technology,38,38,1,0.02631578947368421,0.6,0.023735713518246826,0.6801870100390224,0.13400827107823043
banking_stress,Basic Materials,3,3,0,0.0,1.0,0.016221363784440068,0.48779380094926605,0.045857449651270005
banking_stress,Communication Services,11,11,0,0.0,0.6,0.015694911741823636,0.5595795865352519,0.06180005773533555
banking_stress,Consumer Defensive,13,13,0,0.0,0.6666666666666666,0.02424322923258596,0.8011633512814061,0.06061716756527927
banking_stress,Energy,12,12,0,0.0,1.0,0.053707117417759805,0.503719964238791,0.07805992712026717
banking_stress,Financial Services,28,28,0,0.0,0.5384615384615384,0.014968295593414097,0.8123506846230124,0.08954858676899466
banking_stress,Industrials,48,48,0,0.0,0.8275862068965517,0.016551501085379592,0.7264343810027116,0.06572849058582568
banking_stress,Utilities,8,8,0,0.0,1.0,0.008169817405642588,0.7055961110514475,0.005247414527174412
commodity_oil,Energy,297,43,22,0.07407407407407407,0.3333333333333333,-0.030973542631494294,0.5509951998225852,0.052979654313870896
commodity_oil,Technology,507,78,5,0.009861932938856016,0.7075208913649025,0.018438398598291904,0.5459912182890423,0.15784120845684793
commodity_oil,ALL,3597,504,30,0.008340283569641367,0.5942519019442096,0.007342271214987815,0.631523564259118,0.10126152119652518
commodity_oil,Consumer Cyclical,363,50,2,0.005509641873278237,0.5280373831775701,0.016629174695866257,0.6286243556661508,0.09464596558506085
commodity_oil,Communication Services,215,31,1,0.004651162790697674,0.5135135135135135,0.004073521051254534,0.6661193272483752,0.09110429147120475
commodity_oil,Agriculture,14,2,0,0.0,1.0,0.013933943283128414,0.33680244374738144,0.03993234282062702
commodity_oil,Basic Materials,38,6,0,0.0,0.7,0.008549497889713334,0.5598090571134369,0.03306421402306844
commodity_oil,Consumer Defensive,112,15,0,0.0,0.6756756756756757,0.023424630416848086,0.7938093959111701,0.08227157660930114
commodity_oil,Consumer Discretionary,7,1,0,0.0,1.0,0.02068831544852434,0.646979893347276,0.23399106541294556
commodity_oil,Financial Services,511,70,0,0.0,0.4254032258064516,0.00880424699941514,0.7657628018759727,0.08661029384177832
