target,target_family,model,split,rows,positives,roc_auc,pr_auc,brier_score_uncalibrated,selection_metric
recovery_next_4obs,validated_secondary_production,logistic_l2,validation,2557,1181,0.8893118144851622,0.8426415692703975,0.14343347064548861,validation_pr_auc
recovery_next_4obs,validated_secondary_production,logistic_l2,test,2419,1199,0.8905768468259068,0.8654379841185962,0.38587438416235326,validation_pr_auc
recovery_next_4obs,validated_secondary_production,random_forest,train,6030,2994,0.9972390983108069,0.9972485533268309,0.02902023240937224,validation_pr_auc
recovery_next_4obs,validated_secondary_production,random_forest,validation,2557,1181,0.9494355886812517,0.9396440552407487,0.09123903154962058,validation_pr_auc
recovery_next_4obs,validated_secondary_production,random_forest,test,2419,1199,0.9760408263717033,0.9777444486602025,0.06608401373773343,validation_pr_auc
recovery_next_4obs,validated_secondary_production,gradient_boosting,train,6030,2994,0.9854716019654592,0.9856531876379776,0.04561050554727865,validation_pr_auc
recovery_next_4obs,validated_secondary_production,gradient_boosting,validation,2557,1181,0.9481891700962922,0.9423726515698293,0.09178096908369629,validation_pr_auc
recovery_next_4obs,validated_secondary_production,gradient_boosting,test,2419,1199,0.9729197145161952,0.9746888070626691,0.06409667821166591,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,logistic_l2,train,8105,4787,0.9202425999791226,0.930577890155987,0.10729220570774971,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,logistic_l2,validation,4046,2214,0.8133892892786279,0.7842670080737015,0.25443487400216785,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,logistic_l2,test,3998,2458,0.8782198070440544,0.8729205006372859,0.37204799588518705,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,train,8105,4787,0.9963217892340279,0.9975780913537194,0.03851119050804709,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,validation,4046,2214,0.9321240774270916,0.9288613935807248,0.10106827710982404,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,test,3998,2458,0.9466211575243308,0.9517819919705288,0.0880018452477272,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,gradient_boosting,train,8105,4787,0.9628866947137951,0.9707202873538616,0.07496514238303686,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,gradient_boosting,validation,4046,2214,0.9266756705048854,0.9213558739736534,0.10073917420275956,validation_pr_auc
quality_success_cashflow_next_4obs,validated_secondary_production,gradient_boosting,test,3998,2458,0.9461921317088119,0.9544963737033773,0.0840358143694879,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,logistic_l2,train,7210,2364,0.7754005257008938,0.5972519985902963,0.19483608216560716,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,logistic_l2,validation,2538,866,0.6414653248173973,0.44536940362358163,0.31896508099515075,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,logistic_l2,test,2318,709,0.7466384871417038,0.5440863206326875,0.5982119449130348,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,random_forest,train,7210,2364,0.9971163441441403,0.994125615144745,0.06973448222843326,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,random_forest,validation,2538,866,0.778443622440523,0.6594440261834273,0.1831399776234944,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,random_forest,test,2318,709,0.8222253000356773,0.6581905819135214,0.17202625300597638,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,gradient_boosting,train,7210,2364,0.8633748122372107,0.7567814737784577,0.16077584457842276,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,gradient_boosting,validation,2538,866,0.7699675127352288,0.627253127835574,0.19075859090324412,validation_pr_auc
sector_relative_improvement_next_4obs,robustness_extension,gradient_boosting,test,2318,709,0.8121221338714442,0.6493478097959655,0.18160508503127748,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,logistic_l2,train,11083,6741,0.9276301048924027,0.9453223266818582,0.10238019187739059,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,logistic_l2,validation,4191,2216,0.8572748252067813,0.8298509334767459,0.17328257307401407,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,logistic_l2,test,4027,2461,0.8107560965104156,0.8274001382785137,0.4776281233740611,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,random_forest,train,11083,6741,0.9971942049282695,0.9983018432947961,0.0322759973621007,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,random_forest,validation,4191,2216,0.9386450669469453,0.932961972489781,0.09838631167970731,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,random_forest,test,4027,2461,0.9517878651536122,0.9588397960922604,0.08774468770136275,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,gradient_boosting,train,11083,6741,0.9659897622850222,0.9759363003469862,0.07026586560235784,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,gradient_boosting,validation,4191,2216,0.9339101128730066,0.9318177263350756,0.09851714673503555,validation_pr_auc
persistent_resilience_next_6obs,robustness_extension,gradient_boosting,test,4027,2461,0.9457062745885624,0.9539981576528818,0.08649290367316473,validation_pr_auc
