target,variant,model,train_rows,validation_rows,test_rows,test_positives,threshold,roc_auc,pr_auc,precision,recall,f1
success_resilience_next_4q,current_with_missing_indicators,logistic_l2,11058,4190,4046,2647,0.30423871788663653,0.9120152475471578,0.9321373060994151,0.9505021520803444,0.5005666792595391,0.6557782727047761
success_resilience_next_4q,current_with_missing_indicators,random_forest,11058,4190,4046,2647,0.4413962782855402,0.9661523571939912,0.9741122221100309,0.9294636296840558,0.9557990177559501,0.9424473831253491
success_resilience_next_4q,current_with_missing_indicators,gradient_boosting,11058,4190,4046,2647,0.5131797823486013,0.9599589863016732,0.9671955973683899,0.9369335347432024,0.9372874952776729,0.9371104815864022
success_resilience_next_4q,all_missing_indicators_removed,logistic_l2,11058,4190,4046,2647,0.3879353373998604,0.9223075579107858,0.9412224829841042,0.9673340358271865,0.3468077068379297,0.5105672969966628
success_resilience_next_4q,all_missing_indicators_removed,random_forest,11058,4190,4046,2647,0.4914014573572538,0.9652795874218538,0.973387418951837,0.9367041198501873,0.9448432187381942,0.940756065450442
success_resilience_next_4q,all_missing_indicators_removed,gradient_boosting,11058,4190,4046,2647,0.5357047491498206,0.9600633568205255,0.9687203722597182,0.9385199240986717,0.9342652058934643,0.9363877319197272
success_resilience_next_4q,total_liabilities_and_indicator_removed,logistic_l2,11058,4190,4046,2647,0.3161002091059328,0.910838412563564,0.9314827905931278,0.9487750556792873,0.48281072912731393,0.6399599399098648
success_resilience_next_4q,total_liabilities_and_indicator_removed,random_forest,11058,4190,4046,2647,0.4539199537518371,0.9663454359028644,0.975076906109665,0.9337037037037037,0.9523989421987156,0.9429586684121938
success_resilience_next_4q,total_liabilities_and_indicator_removed,gradient_boosting,11058,4190,4046,2647,0.5307669899869031,0.9603173295837358,0.9683023667325887,0.9382575757575757,0.9357763505855685,0.9370153205976924
success_resilience_next_4q,economic_features_only,logistic_l2,11058,4190,4046,2647,0.3879353373998604,0.9223075579107858,0.9412224829841042,0.9673340358271865,0.3468077068379297,0.5105672969966628
success_resilience_next_4q,economic_features_only,random_forest,11058,4190,4046,2647,0.4914014573572538,0.9652795874218538,0.973387418951837,0.9367041198501873,0.9448432187381942,0.940756065450442
success_resilience_next_4q,economic_features_only,gradient_boosting,11058,4190,4046,2647,0.5357047491498206,0.9600633568205255,0.9687203722597182,0.9385199240986717,0.9342652058934643,0.9363877319197272
success_resilience_next_4q,missing_indicators_only,logistic_l2,11058,4190,4046,2647,0.33463117468970055,0.5749937958275015,0.6830026201298068,0.6945981554677206,0.9958443520967133,0.8183793852840732
success_resilience_next_4q,missing_indicators_only,random_forest,11058,4190,4046,2647,0.366307497611121,0.64245009590476,0.7344572287542469,0.7080846446011937,0.9860219115980355,0.8242539081004263
success_resilience_next_4q,missing_indicators_only,gradient_boosting,11058,4190,4046,2647,0.4785647397650061,0.6249305659258475,0.7154285075426676,0.7089511257550797,0.9754438987533056,0.8211162346955001
success_resilience_next_4q,only_missingindicator_total_liabilities_removed,logistic_l2,11058,4190,4046,2647,0.2811921431838229,0.913147525905627,0.9338808738105433,0.9519023689877961,0.5009444654325652,0.6564356435643565
success_resilience_next_4q,only_missingindicator_total_liabilities_removed,random_forest,11058,4190,4046,2647,0.4645176907943851,0.9663265330922055,0.9752024350889256,0.9339517625231911,0.9508877975066112,0.9423436915013104
success_resilience_next_4q,only_missingindicator_total_liabilities_removed,gradient_boosting,11058,4190,4046,2647,0.48636759146589986,0.9598479997990902,0.9684676920789084,0.9333083551892094,0.9410653570079335,0.9371708051166291
