target,prediction_year,Sector,rows,known_rows,positives,positive_share_known
persistent_resilience_next_6obs,2010,Basic Materials,20,12,12,1.0
persistent_resilience_next_6obs,2010,Communication Services,52,23,14,0.6086956521739131
persistent_resilience_next_6obs,2010,Consumer Cyclical,117,54,43,0.7962962962962963
persistent_resilience_next_6obs,2010,Consumer Defensive,55,31,23,0.7419354838709677
persistent_resilience_next_6obs,2010,Consumer Discretionary,2,2,2,1.0
persistent_resilience_next_6obs,2010,Energy,112,51,41,0.803921568627451
persistent_resilience_next_6obs,2010,Financial Services,217,205,82,0.4
persistent_resilience_next_6obs,2010,Healthcare,110,36,31,0.8611111111111112
persistent_resilience_next_6obs,2010,Industrials,265,150,126,0.84
persistent_resilience_next_6obs,2010,Real Estate,66,60,52,0.8666666666666667
persistent_resilience_next_6obs,2010,Technology,179,119,93,0.7815126050420168
persistent_resilience_next_6obs,2010,Utilities,100,37,31,0.8378378378378378
persistent_resilience_next_6obs,2011,Agriculture,6,4,4,1.0
persistent_resilience_next_6obs,2011,Basic Materials,20,13,13,1.0
persistent_resilience_next_6obs,2011,Communication Services,96,41,18,0.43902439024390244
persistent_resilience_next_6obs,2011,Consumer Cyclical,169,90,66,0.7333333333333333
persistent_resilience_next_6obs,2011,Consumer Defensive,58,33,25,0.7575757575757576
persistent_resilience_next_6obs,2011,Consumer Discretionary,4,4,4,1.0
persistent_resilience_next_6obs,2011,Energy,144,78,53,0.6794871794871795
persistent_resilience_next_6obs,2011,Financial Services,259,246,105,0.4268292682926829
persistent_resilience_next_6obs,2011,Healthcare,153,62,39,0.6290322580645161
persistent_resilience_next_6obs,2011,Industrials,351,203,154,0.7586206896551724
persistent_resilience_next_6obs,2011,Real Estate,101,91,71,0.7802197802197802
persistent_resilience_next_6obs,2011,Technology,232,162,123,0.7592592592592593
persistent_resilience_next_6obs,2011,Utilities,134,53,39,0.7358490566037735
persistent_resilience_next_6obs,2012,Agriculture,8,4,2,0.5
persistent_resilience_next_6obs,2012,Basic Materials,20,16,14,0.875
persistent_resilience_next_6obs,2012,Communication Services,115,53,17,0.32075471698113206
persistent_resilience_next_6obs,2012,Consumer Cyclical,191,103,71,0.6893203883495146
persistent_resilience_next_6obs,2012,Consumer Defensive,56,32,24,0.75
persistent_resilience_next_6obs,2012,Consumer Discretionary,4,4,4,1.0
persistent_resilience_next_6obs,2012,Energy,164,98,63,0.6428571428571429
persistent_resilience_next_6obs,2012,Financial Services,272,260,104,0.4
persistent_resilience_next_6obs,2012,Healthcare,185,87,42,0.4827586206896552
persistent_resilience_next_6obs,2012,Industrials,374,207,164,0.7922705314009661
persistent_resilience_next_6obs,2012,Real Estate,120,107,81,0.7570093457943925
