target,model,feature_group,importance,importance_share
industry_relative_resilience_next_4obs,logistic_l2,accounting_fundamental,6.588567297234042,0.11751195550210836
industry_relative_resilience_next_4obs,logistic_l2,financial_quality_cashflow,1.9526247948530826,0.034826502888028105
industry_relative_resilience_next_4obs,logistic_l2,financial_ratio,9.989529342335578,0.17817062110853094
industry_relative_resilience_next_4obs,logistic_l2,firm_trend,6.805460011188023,0.12138039697064913
industry_relative_resilience_next_4obs,logistic_l2,global_event_context,0.8996186215641004,0.016045361405125122
industry_relative_resilience_next_4obs,logistic_l2,industry_sector,9.874047403510295,0.17611091558465614
industry_relative_resilience_next_4obs,logistic_l2,macro_conditions,6.015826712694047,0.10729670489474635
industry_relative_resilience_next_4obs,logistic_l2,market_health_v2,0.6380373014274824,0.011379865696371932
industry_relative_resilience_next_4obs,logistic_l2,missingness_indicator,13.303496903329075,0.2372776759497839
industry_relative_resilience_next_4obs,random_forest,accounting_fundamental,0.21827876653419243,0.21827876653419237
industry_relative_resilience_next_4obs,random_forest,financial_quality_cashflow,0.058694029186952365,0.05869402918695235
industry_relative_resilience_next_4obs,random_forest,financial_ratio,0.3031635725655098,0.30316357256550974
industry_relative_resilience_next_4obs,random_forest,firm_trend,0.24069003689769414,0.24069003689769408
industry_relative_resilience_next_4obs,random_forest,global_event_context,0.0032492308821470265,0.0032492308821470257
industry_relative_resilience_next_4obs,random_forest,industry_sector,0.032532341895590594,0.03253234189559059
industry_relative_resilience_next_4obs,random_forest,macro_conditions,0.09476009890135823,0.0947600989013582
industry_relative_resilience_next_4obs,random_forest,market_health_v2,0.004114680952221282,0.004114680952221281
industry_relative_resilience_next_4obs,random_forest,missingness_indicator,0.04451724218433426,0.044517242184334255
industry_relative_resilience_next_4obs,gradient_boosting,accounting_fundamental,0.08916860520374009,0.08916860520374009
industry_relative_resilience_next_4obs,gradient_boosting,financial_quality_cashflow,0.016862394171571735,0.016862394171571735
industry_relative_resilience_next_4obs,gradient_boosting,financial_ratio,0.5243753401749023,0.5243753401749023
industry_relative_resilience_next_4obs,gradient_boosting,firm_trend,0.1986440984371993,0.1986440984371993
industry_relative_resilience_next_4obs,gradient_boosting,global_event_context,0.0,0.0
industry_relative_resilience_next_4obs,gradient_boosting,industry_sector,0.1582538049118714,0.1582538049118714
industry_relative_resilience_next_4obs,gradient_boosting,macro_conditions,0.003954475984320967,0.003954475984320967
industry_relative_resilience_next_4obs,gradient_boosting,market_health_v2,0.0,0.0
industry_relative_resilience_next_4obs,gradient_boosting,missingness_indicator,0.00874128111639425,0.00874128111639425
stress_resilience_next_4obs,logistic_l2,accounting_fundamental,8.41886716976041,0.13482403695040274
stress_resilience_next_4obs,logistic_l2,financial_quality_cashflow,2.479530494764196,0.0397084672206857
stress_resilience_next_4obs,logistic_l2,financial_ratio,8.213164690921678,0.1315298124367581
stress_resilience_next_4obs,logistic_l2,firm_trend,6.811159260209674,0.10907738170190427
stress_resilience_next_4obs,logistic_l2,global_event_context,3.4929016670915516,0.055937110531876534
stress_resilience_next_4obs,logistic_l2,industry_sector,7.105497023633159,0.11379105691396206
stress_resilience_next_4obs,logistic_l2,macro_conditions,8.851194041341351,0.1417475401882308
stress_resilience_next_4obs,logistic_l2,market_health_v2,1.242578481526037,0.019899286178167528
stress_resilience_next_4obs,logistic_l2,missingness_indicator,15.828476767060884,0.2534853078780123
stress_resilience_next_4obs,random_forest,accounting_fundamental,0.23279052524140426,0.23279052524140426
stress_resilience_next_4obs,random_forest,financial_quality_cashflow,0.032225574370948556,0.032225574370948556
stress_resilience_next_4obs,random_forest,financial_ratio,0.3783419947427854,0.3783419947427854
stress_resilience_next_4obs,random_forest,firm_trend,0.2147650441313884,0.2147650441313884
stress_resilience_next_4obs,random_forest,global_event_context,0.0023224484557189916,0.0023224484557189916
stress_resilience_next_4obs,random_forest,industry_sector,0.0178181216669236,0.0178181216669236
stress_resilience_next_4obs,random_forest,macro_conditions,0.05754880684843966,0.05754880684843966
stress_resilience_next_4obs,random_forest,market_health_v2,0.0027185988344504285,0.0027185988344504285
stress_resilience_next_4obs,random_forest,missingness_indicator,0.06146888570794071,0.06146888570794071
stress_resilience_next_4obs,gradient_boosting,accounting_fundamental,0.26777079014951805,0.2677707901495181
stress_resilience_next_4obs,gradient_boosting,financial_quality_cashflow,0.012674484413925161,0.012674484413925163
stress_resilience_next_4obs,gradient_boosting,financial_ratio,0.5889931571586219,0.588993157158622
stress_resilience_next_4obs,gradient_boosting,firm_trend,0.09355823065961294,0.09355823065961295
stress_resilience_next_4obs,gradient_boosting,global_event_context,3.3969397417362175e-05,3.396939741736218e-05
stress_resilience_next_4obs,gradient_boosting,industry_sector,0.008043775099583386,0.008043775099583388
stress_resilience_next_4obs,gradient_boosting,macro_conditions,0.01875949361431339,0.018759493614313394
stress_resilience_next_4obs,gradient_boosting,market_health_v2,0.0010972655178815526,0.0010972655178815528
stress_resilience_next_4obs,gradient_boosting,missingness_indicator,0.009068833989126262,0.009068833989126264
recovery_next_4obs,logistic_l2,accounting_fundamental,14.285850996305573,0.23193058977562525
