ticker,shortname,Sector,Industry,Fulltimeemployees,Weight
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,340100.0,0.0007067713151228
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,219000.0,0.0010043276000465
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,45600.0,0.004582197222029
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,17700.0,0.0008109550901453
DASH,DoorDash Inc.,Technology,Internet Retail,23700.0
DDOG,Datadog Inc.,Technology,Software - Application,4800.0,
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,83000.0,0.0021131364706045
DELL,Dell Technologies Inc.,Technology,Computer Hardware,120000.0,0.0014589501544775
DFS,Discover Financial Services,Financial Services,Credit Services,21100.0,0.0007821815210119
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,,0.000805845566436
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,61000.0,0.0029699252470853
DIS,Walt Disney Company (The),Communication Services,Entertainment,173250.0,0.0036500608043532
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,3664.0,0.0010862428391996
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,27037.0,0.0015048676288662
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,9500.0,0.0005624649270593
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,13700.0,0.0006974124769787
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,48000.0,0.0012139545501174
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,104900.0,0.0015270003499757
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,73000.0,0.0012714983722344
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,3050.0,0.0012045879742903
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,13151.0,0.001609602547996
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,94000.0,0.002404083079313
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,19800.0,0.0007938273971783
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,19962.0,0.0006692535746455
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,1023.0,0.0008139387407156
FAST,Fastenal Company,Industrials,Industrial Distribution,20894.0,0.0007711655659351
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,27200.0,0.0010046160313924
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,306000.0,0.0011947972260496
FI,"Fiserv, Inc.",Technology,Information Technology Services,42000.0,0.0021090396253712
FICO,Fair Isaac Corporation,Technology,Software - Application,3586.0,0.0009159527220365
FIS,Fidelity National Information S,Technology,Information Technology Services,60000.0,0.000788994587752
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,13986.0,0.0013401975014147
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,100000.0,0.001304237614451
GE,GE Aerospace,Industrials,Aerospace & Defense,125000.0,0.0032784613042062
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,51000.0,0.000648618353122
GEV,GE Vernova Inc.,Utilities,Utilities - Renewable,80000.0,0.0016993695457186
GFS,GlobalFoundries,Technology,Semiconductor Manufacturing,42786.0,
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,18000.0,0.0020756019283012
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,163000.0,0.0010249673167954
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,181269.0,0.0423086720892176
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,181269.0,0.0423087098196338
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,46400.0,0.0031971277914314
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,23200.0,0.0009576276616746
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,220000.0,0.0013836367064722
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,465000.0,0.0070164908687495
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,178000.0,0.0010939338013469
HON,Honeywell International Inc.,Industrials,Conglomerates,95000.0,0.0026710623254232
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,23200.0,0.0008100729942817
IBM,International Business Machines,Technology,Information Technology Services,282200.0,0.0037157126128858
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges,12900.0,0.0015527279249214
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,11000.0,0.0006073452940013
INTC,Intel Corporation,Technology,Semiconductors,124100.0,0.0015146801900038
INTU,Intuit Inc.,Technology,Software - Application,18800.0,0.0032401510776038
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,13676.0,0.0033606054313921
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,45000.0,0.0013750642379991
JCI,Johnson Controls International ,Industrials,Building Products & Equipment,100000.0,0.0009607083648975
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,131900.0,0.00625788135158
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,316043.0,0.0120348036549762
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,28100.0,0.0007899656301242
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,36000.0,0.000663947292711
KKR,KKR & Co. Inc.,Financial Services,Asset Management,4490.0,0.0024501679824236
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,15000.0,0.0015145861587321
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,41000.0,0.0007878959841485
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,10891.0,0.0010731975477909
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,79100.0,0.0048477981288716
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,414000.0,0.0008051995804427
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,22000.0,0.000750932925005
LIN,Linde plc,Basic Materials,Specialty Chemicals,65596.0,0.0036349300231416
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,43000.0,0.0124222278222706
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,122000.0,0.0020854548727749
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,300000.0,0.0025165297417959
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,17700.0,0.0016618796609002
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,38000.0,0.0008313275252152
MA,Mastercard Incorporated,Financial Services,Credit Services,33400.0,0.0087193282229185
MAR,Marriott International,Consumer Cyclical,Lodging,411000.0,0.001419699467774
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,100000.0,0.0037734940924097
MCHP,Microchip Technology Incorporat,Technology,Semiconductors,22300.0,0.0005363092003201
MCK,McKesson Corporation,Healthcare,Medical Distribution,45000.0,0.0013240166060798
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,15776.0,0.0015205692300076
MDB,MongoDB Inc.,Technology,Database & File Management Software,5585.0,
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,91000.0,0.0014287891082413
MDT,Medtronic plc.,Healthcare,Medical Devices,95000.0,0.0018693636412372
MELI,MercadoLibre Inc.,Consumer Discretionary,Internet Retail,58313.0,
MET,"MetLife, Inc.",Financial Services,Insurance - Life,45000.0,0.0010135431068243
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,72404.0,0.0265813329085953
MMC,"Marsh & McLennan Companies, Inc",Financial Services,Insurance Brokers,85000.0,0.0018709147150666
MMM,3M Company,Industrials,Conglomerates,85000.0,0.0012665954815077
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,5254.0,0.000904937872343
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,6400.0,0.0016416770863955
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,18200.0,0.000771229088628
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,70000.0,0.0044623948969961
MRVL,Marvell Technology Inc.,Technology,Semiconductors,7042.0,
MS,Morgan Stanley,Financial Services,Capital Markets,80000.0,0.0035778648319882
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,6118.0,0.0008527671710033
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,228000.0,0.0584008785436112
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,21000.0,0.0014129771161556
MSTR,MicroStrategy Incorporated,Technology,Software - Application,1483.0,
MU,"Micron Technology, Inc.",Technology,Semiconductors,48000.0,0.0018064848709125
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,9120.0,0.0008034664131397
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,16800.0,0.0026515919568084
NEM,Newmont Corporation,Basic Materials,Gold,21700.0,0.0007840569142979
NFLX,"Netflix, Inc.",Communication Services,Entertainment,13000.0,0.0069910576205273
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,79400.0,0.0020604530188037
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,101000.0,0.0012307758308371
NOW,"ServiceNow, Inc.",Technology,Software - Application,22668.0,0.0040506148617239
NSC,Norfolk Southern Corporation,Industrials,Railroads,20700.0,0.0009530709769936
NVDA,NVIDIA Corporation,Technology,Semiconductors,29600.0,0.0593496381573215
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,34200.0,0.0009613408652148
O,Realty Income Corporation,Real Estate,REIT - Retail,418.0,0.000831239389321
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,22686.0,0.0006966600794209
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,4775.0,0.0010519823685024
ON,ON Semiconductor Corporation,Technology,Semiconductors,30000.0,0.000501771020495
ORCL,Oracle Corporation,Technology,Software - Infrastructure,159000.0,0.0085374351921528
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,92709.0,0.001266226430874
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,12570.0,0.0007956475949921
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,15289.0,0.002205099938612
PAYX,"Paychex, Inc.",Technology,Software - Application,16000.0,0.0009039385321586
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,32400.0,0.0009934664723222
PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,28010.0,0.0007821768047099
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,23465.0,
PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,12543.0,0.0007624521242466
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,318000.0,0.0037714430905654
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,88000.0,0.0026875684982136
