experiment,model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_target_tweaks1,logistic_l2,all_features,42,train,17164,5651,0.32923560941505475,0.29261152423899867,0.9498021386824337,0.8912741343287518,0.6568957232099952,0.9676163510883029,0.7825402504472273,8657,2856,183,5468,success_resilience_quality_v2_next_4obs
test_target_tweaks1,logistic_l2,all_features,42,validation,6012,1828,0.3040585495675316,0.29261152423899867,0.9193960999702943,0.794103645556883,0.693813974187806,0.8528446389496718,0.7651533742331289,3496,688,269,1559,success_resilience_quality_v2_next_4obs
test_target_tweaks1,logistic_l2,all_features,42,test,4350,1449,0.3331034482758621,0.29261152423899867,0.8831149583363962,0.7213031738375291,0.763915547024952,0.274672187715666,0.4040609137055837,2778,123,1051,398,success_resilience_quality_v2_next_4obs
test_target_tweaks1,random_forest,all_features,42,train,17164,5651,0.32923560941505475,0.48301504062351375,0.9973690424631814,0.9948882546651333,0.9140101356874285,0.9893824101928862,0.9502039428959891,10987,526,60,5591,success_resilience_quality_v2_next_4obs
test_target_tweaks1,random_forest,all_features,42,validation,6012,1828,0.3040585495675316,0.48301504062351375,0.9637945533887561,0.9147848857708147,0.8102613746369797,0.9157549234135668,0.859784283513097,3792,392,154,1674,success_resilience_quality_v2_next_4obs
test_target_tweaks1,random_forest,all_features,42,test,4350,1449,0.3331034482758621,0.48301504062351375,0.9691777115004488,0.9287024851531621,0.8381795195954488,0.9151138716356108,0.8749587594853184,2645,256,123,1326,success_resilience_quality_v2_next_4obs
test_target_tweaks1,random_forest,all_features,202,train,17164,5651,0.32923560941505475,0.4942523213976778,0.9972920212081892,0.9947368762777471,0.9172561276525745,0.9867280127411078,0.9507246376811593,11010,503,75,5576,success_resilience_quality_v2_next_4obs
test_target_tweaks1,random_forest,all_features,202,validation,6012,1828,0.3040585495675316,0.4942523213976778,0.9639205936128463,0.9167885108794742,0.8179587831207066,0.911925601750547,0.8623900672529746,3813,371,161,1667,success_resilience_quality_v2_next_4obs
test_target_tweaks1,random_forest,all_features,202,test,4350,1449,0.3331034482758621,0.4942523213976778,0.9697053608748227,0.9290227892088615,0.8476436410587476,0.9061421670117322,0.875917278185457,2665,236,136,1313,success_resilience_quality_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,42,train,17164,5651,0.32923560941505475,0.6065535024268486,0.9749322866968124,0.9440218705779213,0.8530518736704303,0.9224915944080694,0.8864138751912939,10615,898,438,5213,success_resilience_quality_v2_next_4obs
