target,feature_set,model,runs,positives,positive_share,roc_auc_mean,pr_auc_mean,precision_mean,recall_mean,f1_mean
failure_pressure_conservative_next_4obs,firm_core,random_forest,1,514.0,0.11650045330915684,0.9332891455859833,0.7397425158496315,0.6224961479198767,0.7859922178988327,0.6947549441100602
failure_pressure_conservative_next_4obs,all_features,random_forest,1,514.0,0.11650045330915684,0.9352002323849604,0.7378227485283213,0.6380655226209049,0.7957198443579766,0.7082251082251083
failure_pressure_conservative_next_4obs,ratios_trends_only,random_forest,1,514.0,0.11650045330915684,0.9353726744035153,0.7357474775505878,0.6388888888888888,0.7607003891050583,0.69449378330373
failure_pressure_conservative_next_4obs,all_features,gradient_boosting,1,514.0,0.11650045330915684,0.9360791626155686,0.7297439484324665,0.6194144838212635,0.7821011673151751,0.6913155631986242
failure_pressure_conservative_next_4obs,firm_core,gradient_boosting,1,514.0,0.11650045330915684,0.9376740641214789,0.7294247914797326,0.6256,0.7607003891050583,0.6865671641791046
failure_pressure_conservative_next_4obs,ratios_trends_only,gradient_boosting,1,514.0,0.11650045330915684,0.9321047608970379,0.7099963960132937,0.6106750392464678,0.7568093385214008,0.6759339704604691
failure_pressure_conservative_next_4obs,raw_accounting_only,random_forest,1,514.0,0.11650045330915684,0.8969899759030371,0.6634490598952777,0.5877034358047016,0.632295719844358,0.6091846298031866
failure_pressure_conservative_next_4obs,raw_accounting_only,gradient_boosting,1,514.0,0.11650045330915684,0.8966905107478045,0.6542771145904331,0.5817555938037866,0.6575875486381323,0.6173515981735159
failure_pressure_conservative_next_4obs,ratios_trends_only,logistic_l2,1,514.0,0.11650045330915684,0.9049188149964165,0.6464687912951359,0.5508345978755691,0.7062256809338522,0.618925831202046
failure_pressure_conservative_next_4obs,firm_core,logistic_l2,1,514.0,0.11650045330915684,0.9116113621072763,0.6381042012072632,0.5166240409207161,0.7859922178988327,0.6234567901234567
failure_pressure_conservative_next_4obs,all_features,logistic_l2,1,514.0,0.11650045330915684,0.8942219196515024,0.5761615852200102,0.11867928884784114,1.0,0.21217750257997933
failure_pressure_conservative_next_4obs,raw_accounting_only,logistic_l2,1,514.0,0.11650045330915684,0.8106531734322501,0.30713339027046793,0.35096153846153844,0.5680933852140078,0.4338781575037147
failure_pressure_conservative_next_4obs,macro_event_only,gradient_boosting,1,514.0,0.11650045330915684,0.5820469641220779,0.15028472200891335,0.13222667429879795,0.8988326848249028,0.23053892215568864
failure_pressure_conservative_next_4obs,macro_event_only,logistic_l2,1,514.0,0.11650045330915684,0.5761976609774941,0.13850036641836092,0.11650045330915684,1.0,0.20868859114900526
failure_pressure_conservative_next_4obs,macro_event_only,random_forest,1,514.0,0.11650045330915684,0.5587523183594101,0.12799051515525622,0.13362782992821645,0.9416342412451362,0.23404255319148934
failure_pressure_conservative_v2_next_4obs,firm_core,random_forest,1,514.0,0.11650045330915684,0.9332891455859833,0.7397425158496315,0.6224961479198767,0.7859922178988327,0.6947549441100602
failure_pressure_conservative_v2_next_4obs,all_features,random_forest,1,514.0,0.11650045330915684,0.9352002323849604,0.7378227485283213,0.6380655226209049,0.7957198443579766,0.7082251082251083
failure_pressure_conservative_v2_next_4obs,ratios_trends_only,random_forest,1,514.0,0.11650045330915684,0.9353726744035153,0.7357474775505878,0.6388888888888888,0.7607003891050583,0.69449378330373
failure_pressure_conservative_v2_next_4obs,all_features,gradient_boosting,1,514.0,0.11650045330915684,0.9360791626155686,0.7297439484324665,0.6194144838212635,0.7821011673151751,0.6913155631986242
failure_pressure_conservative_v2_next_4obs,firm_core,gradient_boosting,1,514.0,0.11650045330915684,0.9376740641214789,0.7294247914797326,0.6256,0.7607003891050583,0.6865671641791046
failure_pressure_conservative_v2_next_4obs,ratios_trends_only,gradient_boosting,1,514.0,0.11650045330915684,0.9321047608970379,0.7099963960132937,0.6106750392464678,0.7568093385214008,0.6759339704604691
failure_pressure_conservative_v2_next_4obs,raw_accounting_only,random_forest,1,514.0,0.11650045330915684,0.8969899759030371,0.6634490598952777,0.5877034358047016,0.632295719844358,0.6091846298031866
failure_pressure_conservative_v2_next_4obs,raw_accounting_only,gradient_boosting,1,514.0,0.11650045330915684,0.8966905107478045,0.6542771145904331,0.5817555938037866,0.6575875486381323,0.6173515981735159
failure_pressure_conservative_v2_next_4obs,ratios_trends_only,logistic_l2,1,514.0,0.11650045330915684,0.9049188149964165,0.6464687912951359,0.5508345978755691,0.7062256809338522,0.618925831202046
failure_pressure_conservative_v2_next_4obs,firm_core,logistic_l2,1,514.0,0.11650045330915684,0.9116113621072763,0.6381042012072632,0.5166240409207161,0.7859922178988327,0.6234567901234567
failure_pressure_conservative_v2_next_4obs,all_features,logistic_l2,1,514.0,0.11650045330915684,0.8942219196515024,0.5761615852200102,0.11867928884784114,1.0,0.21217750257997933
failure_pressure_conservative_v2_next_4obs,raw_accounting_only,logistic_l2,1,514.0,0.11650045330915684,0.8106531734322501,0.30713339027046793,0.35096153846153844,0.5680933852140078,0.4338781575037147
failure_pressure_conservative_v2_next_4obs,macro_event_only,gradient_boosting,1,514.0,0.11650045330915684,0.5820469641220779,0.15028472200891335,0.13222667429879795,0.8988326848249028,0.23053892215568864
failure_pressure_conservative_v2_next_4obs,macro_event_only,logistic_l2,1,514.0,0.11650045330915684,0.5761976609774941,0.13850036641836092,0.11650045330915684,1.0,0.20868859114900526
failure_pressure_conservative_v2_next_4obs,macro_event_only,random_forest,1,514.0,0.11650045330915684,0.5587523183594101,0.12799051515525622,0.13362782992821645,0.9416342412451362,0.23404255319148934
failure_pressure_profit_roa_next_4obs,all_features,random_forest,1,591.0,0.13395285584768812,0.9085457470537519,0.6831003136121622,0.5887323943661972,0.7072758037225042,0.6425826287471176
failure_pressure_profit_roa_next_4obs,ratios_trends_only,random_forest,1,591.0,0.13395285584768812,0.9066544268892501,0.660955798764613,0.5213483146067416,0.7851099830795262,0.6266036461850101
failure_pressure_profit_roa_next_4obs,firm_core,random_forest,1,591.0,0.13395285584768812,0.9075166138150953,0.6585357587854674,0.5626631853785901,0.7292724196277496,0.6352247605011053
failure_pressure_profit_roa_next_4obs,all_features,gradient_boosting,1,591.0,0.13395285584768812,0.9092033472514306,0.6534109164824528,0.5247747747747747,0.7884940778341794,0.6301555104800541
failure_pressure_profit_roa_next_4obs,firm_core,gradient_boosting,1,591.0,0.13395285584768812,0.907243610096665,0.6443970805216384,0.5657894736842105,0.727580372250423,0.6365655070318282
failure_pressure_profit_roa_next_4obs,ratios_trends_only,gradient_boosting,1,591.0,0.13395285584768812,0.9068745126119747,0.6412794322960853,0.5619295958279009,0.7292724196277496,0.6347569955817378
failure_pressure_profit_roa_next_4obs,ratios_trends_only,logistic_l2,1,591.0,0.13395285584768812,0.8761975740973718,0.5736389073106927,0.4298808432630614,0.7935702199661591,0.5576694411414983
failure_pressure_profit_roa_next_4obs,firm_core,logistic_l2,1,591.0,0.13395285584768812,0.8733612580932429,0.5689050579653386,0.4793814432989691,0.7868020304568528,0.5957719410634209
failure_pressure_profit_roa_next_4obs,raw_accounting_only,gradient_boosting,1,591.0,0.13395285584768812,0.8489751400555572,0.5489881350424984,0.4852374839537869,0.6395939086294417,0.5518248175182482
failure_pressure_profit_roa_next_4obs,raw_accounting_only,random_forest,1,591.0,0.13395285584768812,0.8467275644304275,0.5386980683668914,0.45593419506462984,0.6565143824027073,0.5381414701803051
failure_pressure_profit_roa_next_4obs,all_features,logistic_l2,1,591.0,0.13395285584768812,0.8255384461416583,0.471470743527477,0.13441350981287084,0.9966159052453468,0.2368791473959381
failure_pressure_profit_roa_next_4obs,raw_accounting_only,logistic_l2,1,591.0,0.13395285584768812,0.7777873723934566,0.3253414513160575,0.3674698795180723,0.6192893401015228,0.4612476370510397
failure_pressure_profit_roa_next_4obs,macro_event_only,gradient_boosting,1,591.0,0.13395285584768812,0.6071894964642365,0.17629758895196607,0.1520110957004161,0.9272419627749577,0.26120114394661587
failure_pressure_profit_roa_next_4obs,macro_event_only,random_forest,1,591.0,0.13395285584768812,0.5923545231158647,0.16671707184933174,0.15412782956058588,0.7834179357021996,0.2575799721835883
failure_pressure_profit_roa_next_4obs,macro_event_only,logistic_l2,1,591.0,0.13395285584768812,0.5664689880617888,0.16368163645280343,0.13395285584768812,1.0,0.23625824505296822
success_composite_strict_next_4obs,firm_core,gradient_boosting,1,788.0,0.1811494252873563,0.9620612885021533,0.8140305625677774,0.7096774193548387,0.8654822335025381,0.779874213836478
