experiment,target,model,feature_set,seed,feature,feature_clean,feature_group,importance,signed_value
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__missingindicator_net_margin_change_4obs,net_margin_change_4obs,firm_trend,0.4443674734305692,0.4443674734305692
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__roa,roa,financial_ratio,0.4338711054823346,-0.4338711054823346
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__T10Y2Y,T10Y2Y,macro,0.4141356000311907,-0.4141356000311907
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,logistic_l2,all_features,42,num__missingindicator_total_revenue_growth_4obs,total_revenue_growth_4obs,firm_trend,0.41391424575411734,-0.41391424575411734
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__net_income_negative_count_prior_4obs,net_income_negative_count_prior_4obs,firm_trend,0.10037374755181014,0.10037374755181014
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__net_income,net_income,accounting_fundamental,0.09979606722698164,0.09979606722698164
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__roa_lag1,roa_lag1,firm_trend,0.09097106541828609,0.09097106541828609
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__roa,roa,financial_ratio,0.08731530006818843,0.08731530006818843
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__operating_income,operating_income,accounting_fundamental,0.05511372378108864,0.05511372378108864
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__net_margin_lag1,net_margin_lag1,firm_trend,0.05037582520976491,0.05037582520976491
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__net_margin,net_margin,financial_ratio,0.048365721636590094,0.048365721636590094
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__operating_margin,operating_margin,financial_ratio,0.03758441474061008,0.03758441474061008
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__operating_margin_lag1,operating_margin_lag1,firm_trend,0.027328080399800093,0.027328080399800093
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__total_equity,total_equity,accounting_fundamental,0.026946776485849852,0.026946776485849852
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__current_assets,current_assets,accounting_fundamental,0.02322435100909815,0.02322435100909815
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__total_assets,total_assets,accounting_fundamental,0.021171664937151162,0.021171664937151162
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__current_liabilities,current_liabilities,accounting_fundamental,0.018909814824626333,0.018909814824626333
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__total_liabilities,total_liabilities,accounting_fundamental,0.01258610535921758,0.01258610535921758
