model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
random_forest_cfg2_seed42,test,5872,96,0.29387519644583704,0.8725410102146816,0.1452451627810671,0.1518987341772152,0.125,0.13714285714285712,5709,67,84,12,distress_next_4q,random_forest,42,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.715
random_forest_cfg2_seed202,train,17145,58,0.2794446878329596,0.9999303765920049,0.9796062437936713,0.1829652996845426,1.0,0.30933333333333335,16828,259,0,58,distress_next_4q,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.027
random_forest_cfg2_seed202,validation,6045,53,0.2794446878329596,0.9040009320603573,0.13744604773842234,0.3023255813953488,0.24528301886792453,0.27083333333333326,5962,30,40,13,distress_next_4q,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.027
random_forest_cfg2_seed202,test,5872,96,0.2794446878329596,0.8625643827908587,0.15633010045180779,0.18181818181818182,0.1875,0.1846153846153846,5695,81,78,18,distress_next_4q,random_forest,202,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.027
random_forest_cfg2_seed777,train,17145,58,0.27482213756079255,0.999914232033629,0.9786613331115911,0.17737003058103976,1.0,0.3012987012987013,16818,269,0,58,distress_next_4q,random_forest,777,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.025
random_forest_cfg2_seed777,validation,6045,53,0.27482213756079255,0.9106985414514951,0.14744167315782558,0.325,0.24528301886792453,0.27956989247311825,5965,27,40,13,distress_next_4q,random_forest,777,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.025
random_forest_cfg2_seed777,test,5872,96,0.27482213756079255,0.8747348943905817,0.1558079358221726,0.1941747572815534,0.20833333333333334,0.20100502512562812,5693,83,76,20,distress_next_4q,random_forest,777,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",False,1.025
random_forest_cfg3_seed42,train,17145,58,0.11298187849406525,0.999649864890227,0.8775078875234141,0.14427860696517414,1.0,0.2521739130434783,16743,344,0,58,distress_next_4q,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.963
random_forest_cfg3_seed42,validation,6045,53,0.11298187849406525,0.8524746832254326,0.07277386681303821,0.16901408450704225,0.22641509433962265,0.1935483870967742,5933,59,41,12,distress_next_4q,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.963
random_forest_cfg3_seed42,test,5872,96,0.11298187849406525,0.8312783140004617,0.15073125391834158,0.2550335570469799,0.3958333333333333,0.31020408163265306,5665,111,58,38,distress_next_4q,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.963
random_forest_cfg3_seed202,train,17145,58,0.16605304051866904,0.9996730726928922,0.8857270355763424,0.20350877192982456,1.0,0.33819241982507287,16860,227,0,58,distress_next_4q,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.967
random_forest_cfg3_seed202,validation,6045,53,0.16605304051866904,0.8445679144519738,0.0766253981396293,0.2222222222222222,0.18867924528301888,0.20408163265306123,5957,35,43,10,distress_next_4q,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.967
random_forest_cfg3_seed202,test,5872,96,0.16605304051866904,0.8459628202908587,0.14829120829010245,0.2777777777777778,0.2604166666666667,0.2688172043010753,5711,65,71,25,distress_next_4q,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.967
random_forest_cfg3_seed777,train,17145,58,0.15050208280086172,0.9996791269022831,0.8904818548594543,0.19269102990033224,1.0,0.32311977715877443,16844,243,0,58,distress_next_4q,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.952
random_forest_cfg3_seed777,validation,6045,53,0.15050208280086172,0.8263281860090183,0.07663222198856151,0.18867924528301888,0.18867924528301888,0.18867924528301885,5949,43,43,10,distress_next_4q,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.952
random_forest_cfg3_seed777,test,5872,96,0.15050208280086172,0.8427680271814406,0.15119839337528274,0.2807017543859649,0.3333333333333333,0.3047619047619048,5694,82,64,32,distress_next_4q,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,3.952
extra_trees_cfg1_seed42,train,17145,58,0.10534217436707909,1.0,1.0000000000000002,0.21804511278195488,1.0,0.35802469135802467,16879,208,0,58,distress_next_4q,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.424
extra_trees_cfg1_seed42,validation,6045,53,0.10534217436707909,0.8203343451646221,0.0816652857547228,0.1527777777777778,0.20754716981132076,0.17600000000000002,5931,61,42,11,distress_next_4q,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.424
extra_trees_cfg1_seed42,test,5872,96,0.10534217436707909,0.7741696964450601,0.07712109059738244,0.14634146341463414,0.0625,0.08759124087591241,5741,35,90,6,distress_next_4q,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.424
extra_trees_cfg1_seed202,train,17145,58,0.07880040315031812,1.0,1.0,0.15303430079155672,1.0,0.2654462242562929,16766,321,0,58,distress_next_4q,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.406
extra_trees_cfg1_seed202,validation,6045,53,0.07880040315031812,0.8199942690883444,0.0658029267393728,0.10077519379844961,0.24528301886792453,0.14285714285714285,5876,116,40,13,distress_next_4q,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.406
extra_trees_cfg1_seed202,test,5872,96,0.07880040315031812,0.7784898358148662,0.06828924980907312,0.0970873786407767,0.10416666666666667,0.10050251256281406,5683,93,86,10,distress_next_4q,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.406
extra_trees_cfg1_seed777,train,17145,58,0.07884137095960127,1.0000000000000002,1.0000000000000002,0.15263157894736842,1.0,0.2648401826484018,16765,322,0,58,distress_next_4q,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.402
extra_trees_cfg1_seed777,validation,6045,53,0.07884137095960127,0.8308861500869082,0.07754784757768332,0.11764705882352941,0.3018867924528302,0.16931216931216933,5872,120,37,16,distress_next_4q,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.402
extra_trees_cfg1_seed777,test,5872,96,0.07884137095960127,0.7594626471606648,0.06083302530851321,0.1016949152542373,0.125,0.11214953271028037,5670,106,84,12,distress_next_4q,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.402
extra_trees_cfg2_seed42,train,17145,58,0.4071373899378475,0.9999586295691624,0.9815892233265644,0.20567375886524822,1.0,0.3411764705882353,16863,224,0,58,distress_next_4q,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.583
extra_trees_cfg2_seed42,validation,6045,53,0.4071373899378475,0.8152694158248734,0.07477361872496845,0.16326530612244897,0.1509433962264151,0.15686274509803919,5951,41,45,8,distress_next_4q,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.583
extra_trees_cfg2_seed42,test,5872,96,0.4071373899378475,0.691197952735457,0.06462073308563203,0.13333333333333333,0.041666666666666664,0.06349206349206349,5750,26,92,4,distress_next_4q,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.583
extra_trees_cfg2_seed202,train,17145,58,0.3954783361132294,0.9999596386040608,0.9832415755509989,0.17737003058103976,1.0,0.3012987012987013,16818,269,0,58,distress_next_4q,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.573
extra_trees_cfg2_seed202,validation,6045,53,0.3954783361132294,0.8181144041111419,0.07415191947626161,0.17391304347826086,0.1509433962264151,0.16161616161616163,5954,38,45,8,distress_next_4q,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.573
extra_trees_cfg2_seed202,test,5872,96,0.3954783361132294,0.7097977262234533,0.07974703463614258,0.27586206896551724,0.08333333333333333,0.128,5755,21,88,8,distress_next_4q,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.573
extra_trees_cfg2_seed777,train,17145,58,0.4491007672913475,0.9999586295691623,0.9825231847464012,0.29896907216494845,1.0,0.4603174603174603,16951,136,0,58,distress_next_4q,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.571
extra_trees_cfg2_seed777,validation,6045,53,0.4491007672913475,0.8179002821371892,0.10983832116397062,0.3333333333333333,0.1320754716981132,0.18918918918918917,5978,14,46,7,distress_next_4q,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.571
extra_trees_cfg2_seed777,test,5872,96,0.4491007672913475,0.6907011051477379,0.08911299397523278,0.42857142857142855,0.03125,0.05825242718446602,5772,4,93,3,distress_next_4q,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.571
extra_trees_cfg3_seed42,train,17145,58,0.18404118816552928,1.0,1.0000000000000002,0.1615598885793872,1.0,0.27817745803357313,16786,301,0,58,distress_next_4q,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.235
extra_trees_cfg3_seed42,validation,6045,53,0.18404118816552928,0.8408695871224525,0.1679181933798906,0.25,0.18867924528301888,0.21505376344086022,5962,30,43,10,distress_next_4q,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.235
extra_trees_cfg3_seed42,test,5872,96,0.18404118816552928,0.7884872027931671,0.1424967074158453,0.23076923076923078,0.21875,0.22459893048128343,5706,70,75,21,distress_next_4q,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.235
extra_trees_cfg3_seed202,train,17145,58,0.10076445111140209,1.0,1.0000000000000002,0.09105180533751962,1.0,0.1669064748201439,16508,579,0,58,distress_next_4q,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.211
extra_trees_cfg3_seed202,validation,6045,53,0.10076445111140209,0.8637003425951584,0.17078803120411568,0.14285714285714285,0.4716981132075472,0.21929824561403505,5842,150,28,25,distress_next_4q,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.211
