target,production_baseline_model,baseline_test_roc_auc,baseline_test_pr_auc,baseline_test_precision,baseline_test_recall,baseline_test_f1,validation_selected_tuned_candidate,tuned_family,tuned_test_roc_auc,tuned_test_pr_auc,tuned_test_precision,tuned_test_recall,tuned_test_f1,delta_pr_auc,delta_f1
distress_next_4q,gradient_boosting,0.8159328471260388,0.10431388596964519,0.12,0.375,0.18181818181818182,extra_trees_cfg3_seed777,extra_trees,0.8093448825600185,0.14272962157142668,0.17307692307692307,0.375,0.23684210526315785,0.03841573560178149,0.05502392344497603
failure_pressure_conservative_v2_next_4obs,random_forest,0.9540138186720593,0.7578791892959569,0.6691176470588235,0.7913043478260869,0.7250996015936254,hist_gradient_boosting_cfg4,hist_gradient_boosting,0.9409150745425892,0.7475900706964291,0.6053333333333333,0.7895652173913044,0.6852830188679244,-0.010289118599527747,-0.03981658272570099
success_resilience_next_4q,random_forest,0.9665813841997629,0.974648887771459,0.9413779977160259,0.9339123867069486,0.9376303317535546,random_forest_cfg1_seed202,random_forest,0.9660875475574463,0.9740081749427809,0.9343228200371058,0.9512655836796373,0.9427180831149383,-0.0006407128286780583,0.00508775136138373
