target,production_baseline_model,baseline_test_pr_auc,baseline_test_f1,sklearn_tuned_candidate,sklearn_tuned_pr_auc,sklearn_tuned_f1,advanced_boosting_candidate,advanced_family,advanced_test_pr_auc,advanced_test_f1,advanced_delta_vs_baseline_pr_auc,advanced_delta_vs_baseline_f1,advanced_delta_vs_sklearn_tuned_pr_auc,advanced_delta_vs_sklearn_tuned_f1
distress_next_4q,gradient_boosting,0.10431388596964519,0.18181818181818182,extra_trees_cfg3_seed777,0.1427296215714266,0.2368421052631578,xgboost_cfg1_seed777,xgboost,0.14176366670174206,0.20083682008368203,0.03744978073209687,0.01901863826550021,-0.0009659548696845377,-0.036005285179475766
failure_pressure_conservative_v2_next_4obs,random_forest,0.7578791892959569,0.7250996015936254,hist_gradient_boosting_cfg4,0.7475900706964291,0.6852830188679244,lightgbm_cfg4_seed42,lightgbm,0.7390715018231307,0.7176368375325802,-0.01880768747282613,-0.0074627640610451795,-0.008518568873298382,0.03235381866465581
success_resilience_next_4q,random_forest,0.974648887771459,0.9376303317535546,random_forest_cfg1_seed202,0.9740081749427808,0.9427180831149384,xgboost_cfg4_seed202,xgboost,0.9742192086148127,0.9347000759301444,-0.00042967915664626766,-0.0029302558234102216,0.0002110336720319017,-0.008018007184794063
